create_time,date,magnet,name,title,url
,,,,2019年中国甄子丹动作片《叶问4：完结篇》BD国粤双语中字,https://www.dy2018.com/i/101706.html
,,"magnet:?xt=urn:btih:e1abefac408d04bb0a43c6da05a89b4d8464573f&dn=西游伏妖篇_BD国粤双语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,magnet:?xt=urn:btih:8cb3f1fb0f29a0c289f73e73778fa52d75d0a8fd&dn=西游伏妖篇_BD国语修正中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce",,2017年国产奇幻片《西游伏妖篇》BD国粤双语中字,https://www.dy2018.com/i/97919.html
,,magnet:?xt=urn:btih:7164a07cb0d74414e15a0ab674a37840fd891f3a&dn=杰出公民_BD西班牙中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,,2016年欧美8.5分喜剧片《杰出公民》BD西班牙中字,https://www.dy2018.com/i/97997.html
,,magnet:?xt=urn:btih:ae175abb16f18d31a8c5d227e6de6aadb79acdcc&dn=绑架者-2017_HD高清国语中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,,2017年国产分动作片《绑架者》HD高清国语中英双字,https://www.dy2018.com/i/98007.html
,,magnet:?xt=urn:btih:1263f46e09a68dd7c8079688e48dbb94b084ac18&dn=哥-2016_BD韩语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,,2016年韩国7.4分剧情片《哥》BD韩语中字,https://www.dy2018.com/i/98009.html
,,magnet:?xt=urn:btih:ae1e8462bdc349db5f0af9d613c146d8a0a73040&dn=健忘村_HD高清国语中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,,2017年国产6.9分喜剧片《健忘村》BD国语中字,https://www.dy2018.com/i/97811.html
,,"magnet:?xt=urn:btih:4c599501363c59686b6cf5b881c2f794d2aae9f3&dn=隧道-2016_BD韩语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,magnet:?xt=urn:btih:15f815ce42e2b4becb64f390fb110ddca8657cf3&dn=隧道-2016_BD韩语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce",,2016年韩国7.6分剧情片《隧道》BD韩语中字,https://www.dy2018.com/i/97882.html
,,magnet:?xt=urn:btih:ed36ad186f753a6844cab4d6e755c9a57c664765&dn=推销员-2016_BD中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,,2016年欧美7.7分剧情片《推销员》BD中字,https://www.dy2018.com/i/97884.html
,,magnet:?xt=urn:btih:6c56c4fcd6e2b1269f3441350aa66ec6082f8929&dn=分裂-2016_BD中英双字修正.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,,2016年美国7.3分恐怖片《分裂》BD中英双字修正,https://www.dy2018.com/i/97889.html
,,magnet:?xt=urn:btih:a146c395f172ca44576f111afadbf10479ea3a55&dn=爵迹_HD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,,2016年国产真人奇幻片《爵迹》HD国语中字,https://www.dy2018.com/i/97458.html
,,magnet:?xt=urn:btih:1c9f029c1f0fcb0a9bbbfcfc7987119be76ffcdb&dn=脑残粉_国印双语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,,2016年印度7.4分剧情片《脑残粉》国印双语中字,https://www.dy2018.com/i/97629.html
,,magnet:?xt=urn:btih:0d3b9077ec792a037a1ac01e54c45c38588ce51e&dn=火车上的女孩-2016_BD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,,2016年美国6.6分惊悚片《火车上的女孩》BD中英双字,https://www.dy2018.com/i/97630.html
,,"magnet:?xt=urn:btih:b101a5d58a10962850d1535887694144adabe476&dn=暗杀游戏_HD国英双语中字_.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,magnet:?xt=urn:btih:87a73660453ea8644fc82d93b2903fc6d16a0fac&dn=暗杀游戏_HD国英双语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce",,2016年俄罗斯动作片《暗杀游戏》HD国英双语中字,https://www.dy2018.com/i/97594.html
,,magnet:?xt=urn:btih:bb077472a74f43739a03e588c73d7fd48aa87069&dn=帕特森_BD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,,2016年美国8.1分剧情片《帕特森》BD中英双字,https://www.dy2018.com/i/97871.html
,,magnet:?xt=urn:btih:2b8a989e6e1d3739855f1f451759078412c3e13a&dn=香肠派对-2016_BD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,,2016年美国7.4分动画片《香肠派对》BD中英双字,https://www.dy2018.com/i/97390.html
,,magnet:?xt=urn:btih:c989d5fda858e0a01553e8f2873f74de3ee9a3a6&dn=黑处有什么_HD国语中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,,2015年国产6.7分悬疑片《黑处有什么》HD国语中英双字,https://www.dy2018.com/i/97395.html
,,magnet:?xt=urn:btih:e3f2e313daf201bee5683cf213b3ad804304840e&dn=被挠_BD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,,2016年欧美7.6分纪录片《被挠》BD中英双字,https://www.dy2018.com/i/97402.html
,,magnet:?xt=urn:btih:aaa91deae0c3019d18c746b9b00efd0f1ffaeb06&dn=赴汤蹈火-2016_BD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,,2016年美国8.1分剧情片《赴汤蹈火》BD中英双字,https://www.dy2018.com/i/97459.html
,,magnet:?xt=urn:btih:46dd5675c7dbce08c78c1d256532a431eba2e200&dn=长江图_HD国语中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,,2016年国产7.3分爱情片《长江图》HD国语中英双字,https://www.dy2018.com/i/97460.html
