网易网游排行
	1,天谕,角色扮演
	2,剑网3,角色扮演
	3,激战2,角色扮演
	4,守望先锋,第一人称射击
	5,无尽战区,MOBA
	6,上古世纪,角色扮演
	7,战意,角色扮演
	8,炉石传说,桌游卡牌
	9,冒险岛2,角色扮演
	10,我的世界,角色扮演
新浪网游排行
	1,暗黑破坏神3,角色扮演
	2,风暴英雄,策略
	3,使命召唤OL,射击
	4,反恐精英Online2,射击
	5,天谕,角色扮演
	6,无冬OL,角色扮演
	7,画皮世界2,角色扮演
	8,海战世界,射击
	9,地城之光,角色扮演
	10,突击英雄,射击
17173网游排行
	1,地下城与勇士,动作角色扮演
	2,英雄联盟,MOBA
	3,梦幻西游,大型角色扮演
	4,剑网3,大型角色扮演
	5,炉石传说,集换卡牌
	6,剑灵,大型角色扮演
	7,魔兽世界,大型角色扮演
	8,冒险岛2,大型角色扮演
	9,穿越火线,第一人称射击
	10,QQ飞车,竞速
太平洋网游排行
	1,DOTA2,即时战略
	2,英雄联盟,即时战略
	3,极品飞车OL,竞速
	4,神之浩劫,角色扮演
	5,失落方舟,角色扮演
	6,枪界,FPS射击
	7,蛮荒搜神记,角色扮演
	8,不朽之城,角色扮演
	9,灵魂回响,角色扮演
	10,刀剑2,角色扮演
特玩网游排行
	1,英雄联盟,MOBA
	2,守望先锋,FPS
	3,穿越火线,FPS
	4,DNF,动作角色
	5,炉石传说,策略
	6,NBA2KOL,竞技体育
	7,冒险岛2,角色扮演
	8,剑网3,角色扮演
	9,天涯明月刀OL,角色扮演
	10,DOTA2,MOBA
52PK网游排行
	1,冒险岛2,角色扮演
	2,极品飞车OL,休闲竞技
	3,天衍录,角色扮演
	4,枪火游侠,射击游戏
	5,长城ol,角色扮演
	6,装甲战争,射击游戏
	7,灵山奇缘,其他
	8,自由禁区,射击游戏
	9,权御天下,角色扮演
	10,流放之路,角色扮演
